node_1|node_2|edge|chunk_id
saxons|charlemagne's invasion in 772|Charlemagne invaded Saxons, marking the beginning of their history|ef4bde6d77ca4e46babb105d25151ff3
otto i|death in 973|Ended with the death of Otto I, suggesting a significant event after Saxon duchy establishment|ef4bde6d77ca4e46babb105d25151ff3
duchy of saxons|established by settling original territory between rhine and elbe rivers|Settlement established the foundation for the Duchy of Saxons|ef4bde6d77ca4e46babb105d25151ff3
bishops|seats around cities emerged|Cities emerged with the presence and influence of bishops indicating religious and administrative significance|ef4bde6d77ca4e46babb105d25151ff3
noblemen|castles built in saxon territories|Established castles for noblemen's power and control over the region|ef4bde6d77ca4e46babb105d25151ff3
military system|relying on armoured men on horseback with oath of fealty|Established a new military structure based on feudal loyalty and cavalry|ef4bde6d77ca4e46babb105d25151ff3
hermann billung|conquered land up to oder and neisse rivers|Leader who expanded the Saxon territory into Slavic lands beyond the Elbe|ef4bde6d77ca4e46babb105d25151ff3
margraves|headed four marcher counties in conquered territories|Administrative division under margraves for governance of newly acquired regions|ef4bde6d77ca4e46babb105d25151ff3
slavic tribes|living within the expanded saxon territory|Residing in territories conquered by Hermann Billung and Margrave Gero, indicating a diverse population|ef4bde6d77ca4e46babb105d25151ff3
slavic peoples|nominally embracing christianity|Demonstrating religious transition in the region under Saxon rule|ef4bde6d77ca4e46babb105d25151ff3
otto|bishoprics in brandenburg, havelberg, merseburg, zeitz and meissen|founded bishoprics to embed Christianity in local population|af9be55af43b4c55a7f22a414c297f00
bishoprics|archbishopric of magdeburg|Otto appointed the archbishopric of Magdeburg for control over territories|af9be55af43b4c55a7f22a414c297f00
bishoprics|missionaries|sent out missionaries to convert pagans further east|af9be55af43b4c55a7f22a414c297f00
emperor of saxony|hermann billung|Otto put Hermann Billung in charge as proxy due to his absences|af9be55af43b4c55a7f22a414c297f00
vassals|institutions or otto himself|swear fealty to another man instead of an institution|af9be55af43b4c55a7f22a414c297f00
otto von northeim|new oath upon ascension to throne|renewed oath was actually a new one, as mentioned 100 years later|af9be55af43b4c55a7f22a414c297f00
personal rule|ruler's presence|A personal rule mandates that the ruler has to be present.|5386e3a5f73a47ec9dd337b23f955a2a
oath of fealty|liege lord|The oath of fealty established mutual obligations between the vassal and the liege lord, including protection, access to justice, and listening to counsel.|5386e3a5f73a47ec9dd337b23f955a2a
hermann billung|saxon duke|In 972, Hermann Billung acted as if he were the real duke when Otto I was absent.|5386e3a5f73a47ec9dd337b23f955a2a
otto i|absent ruler|Otto I's absence led to Saxon nobles rebelling, with Hermann Billung acting as the leader in his stead.|5386e3a5f73a47ec9dd337b23f955a2a
saxons|rebellion against absent or overbearing leaders|The Saxons rebelled due to Otto I's prolonged absence, with Hermann Billung leading in his place.|5386e3a5f73a47ec9dd337b23f955a2a
state of play|kingdom of east francia|contextual background to the main issue|1660a840557843d08209b4e668da139e
denmark|poland, bohemia, hungary|polities that will play a major role in the story going forward|1660a840557843d08209b4e668da139e
north to south direction|denmark, poland, bohemia, hungary|geographical arrangement of mentioned polities|1660a840557843d08209b4e668da139e
moravia|great moravian empire|Created by Moravians, a Slavic people|8e60907d23804d3a93635e411e1aac38
charlemagne|avars|Defeated Charlemagne in 805|8e60907d23804d3a93635e411e1aac38
avar empire|great moravian empire|Followed by the Avar Empire after their demise|8e60907d23804d3a93635e411e1aac38
ratislav|great moravian empire|Reigned from 846 to 870, peak of Great Moravian Empire power|8e60907d23804d3a93635e411e1aac38
svatopluk|great moravian empire|Reigned from 870 to 894, continued the peak of Great Moravian Empire power|8e60907d23804d3a93635e411e1aac38
world heritage convention|great moravia|Describes Great Moravia as a consolidated protofeudal state with developed economy and culture|8e60907d23804d3a93635e411e1aac38
byzantine empire|great moravian empire|Had cultural ties to the Byzantian Empire|8e60907d23804d3a93635e411e1aac38
slavonic literature and material heritage|west-slavonic peops|The culture of Great Moravian Empire laid foundations for these aspects|8e60907d23804d3a93635e411e1aac38
charlemagne|saxons|Comparison in sophistication prior to Charlemagne's arrival|f25f2f911857453195907e76a9547567
moravians|carolingian empire|Formally vassals of the Carolingian empire|f25f2f911857453195907e76a9547567
moravian rulers|emperor|Swore fealty to the emperor|f25f2f911857453195907e76a9547567
moravians|carolingian empire|Attempted to avoid subordination under Carolingian rule (kibosh)|f25f2f911857453195907e76a9547567
carolingian empire|east francia|successor state|9f5ae4d3f1b64b8299d4d142edc3a700
moravians|bavarian missionaries|converted by|9f5ae4d3f1b64b8299d4d142edc3a700
prince ratislav|bavarian missionaries|expelled|9f5ae4d3f1b64b8299d4d142edc3a700
pope|moravians|refused to send new missionaries|9f5ae4d3f1b64b8299d4d142edc3a700
emperor in constantinople|missionaries|sent two brothers|9f5ae4d3f1b64b8299d4d142edc3a700
konstantine and method|church fathers|translated into Slavic language|9f5ae4d3f1b64b8299d4d142edc3a700
slavic language|church slavonic|language used in orthodox rites across eastern Europe|9f5ae4d3f1b64b8299d4d142edc3a700
glagolica script|writing system|invented by Konstantine and Method|9f5ae4d3f1b64b8299d4d142edc3a700
pope|slavic language in church liturgy|allowed its use alongside Hebrew, Greek and Latin|9f5ae4d3f1b64b8299d4d142edc3a700
reformation|western europeans|Allowed Western Europeans to hear the Bible in a language they understood.|be53b25ebfb94a6089798e4ebcde10e7
konstantine|basilica de san clemente|Buried in Basilica de San Clemente|be53b25ebfb94a6089798e4ebcde10e7
st cyrill (constantine)|apostles to the slavs|Known as apostles to the Slavs along with his brother, Methodius.|be53b25ebfb94a6089798e4ebcde10e7
trajan|san clemente|Emperor Trajan martyred San Clemente by throwing him overboard with an anchor attached to his feet.|be53b25ebfb94a6089798e4ebcde10e7
clemente (saint clement)|relics of saint clement|Miraculously preserved for 700 years on a beach in Crimea|be53b25ebfb94a6089798e4ebcde10e7
crimea|clemente's body and relics|Where his body, including the anchor, was preserved for 700 years.|be53b25ebfb94a6089798e4ebcde10e7
saint clement|patron saint of seafarers|Honored in Basilica de San Clemente and may provide protection at sea|be53b25ebfb94a6089798e4ebcde10e7
st. cyrill and st. method|greek orthodox tradition|originated from Constantinople, linked to Greek Orthodox tradition|6eb76a3e0ec444f28dbd6236c73e4c9e
moravian church|pope|submitted themselves and the Moravian church to the pope|6eb76a3e0ec444f28dbd6236c73e4c9e
east francians|bishop of regensburg|wanted the Moravian church to report to Bishop of Regensburg|6eb76a3e0ec444f28dbd6236c73e4c9e
carolingians|svatopluk|encouraged Svatopluk's rebellion against East Francian kingdom|6eb76a3e0ec444f28dbd6236c73e4c9e
svatopluk|bavarian church|handed St. Method over to Bavarian church who imprisoned him|6eb76a3e0ec444f28dbd6236c73e4c9e
st. method|pope|forced the Bavarians to release St. Method by pope's order|6eb76a3e0ec444f28dbd6236c73e4c9e
method|archbishop|pope made St. Method an archbishop in defiance|6eb76a3e0ec444f28dbd6236c73e4c9e
wiching|bishop of nitra|banned the use of Slavic language in Moravian church services and expelled Method's pupils|6eb76a3e0ec444f28dbd6236c73e4c9e
moravian empire|hungarian attacks|disappeared due to civil war and Hungarian attacks|6eb76a3e0ec444f28dbd6236c73e4c9e
french|italian|languages understood by the person|ccd00a1ee67143688c6c9520c4e0b571
czech, polish, russian|hungarian, estonian|languages not proficient in the person|ccd00a1ee67143688c6c9520c4e0b571
moravian prince|king of east francia|political rivals utilized in Bořivoj's policy for regional advantage|ccd00a1ee67143688c6c9520c4e0b571
his sons|wenceslaus and boleslaus|The sons are known as Wenceslaus and Boleslaus|262f0d0e65164883bee2afe1389e67be
prague|city founded by his sons|His sons expanded further from his father’s position and founded Prague|262f0d0e65164883bee2afe1389e67be
moldau/vitava river|location where prague is situated|Prague dominates the Moldau/Vitava River|262f0d0e65164883bee2afe1389e67be
premislids|ruling dynasty of bohemia|The Premislids had control of most of Bohemia by now|262f0d0e65164883bee2afe1389e67be
wenceslaus|elder brother and ruler in the year 921|Wenceslaus is the elder and more senior among brothers, and ruled as a king under Henry the Fowler|262f0d0e65164883bee2afe1389e67be
boleslaus|younger brother who shared rule with wenceslaus|Boleslaus is mentioned alongside his elder brother, Wenceslaus as rulers of Bohemia|262f0d0e65164883bee2afe1389e67be
kingdom of east francia|under the reign of king henry the fowler|The Kingdom of East Francia had reconsolidated under King Henry the Fowler's rule|262f0d0e65164883bee2afe1389e67be
bavaria|region that came back into fold with east francia|Bavaria was part of the Kingdom of East Francia, leaving only a choice between Franks or Hungarians|262f0d0e65164883bee2afe1389e67be
hungarians|competing power to the premislids after moravia's fall|Moravia was replaced by the Hungarians, which led to a shift in regional control|262f0d0e65164883bee2afe1389e67be
wenceslaus|king henry the fowler's influence on religious choice|Under King Henry the Fowler’s rule, Wenceslaus chose Latin rite and became a devout Catholic|262f0d0e65164883bee2afe1389e67be
cyrill and method|religious figures whose teachings were rejected by wenceslaus|Young Wenceslaus expelled the pupils of Cyrill and Method|262f0d0e65164883bee2afe1389e67be
orthodox christianity/paganism|religious choices at the time|There was a religious issue where it could be either Latin or orthodox, or even pagan|262f0d0e65164883bee2afe1389e67be
general population|935 wenceslaus younger brother boleslaus|did not agree with|f59cd4258ad642a88dcf3ed21955caeb
wenceslaus younger brother boleslaus|government|decided to change|f59cd4258ad642a88dcf3ed21955caeb
government|vital status of his brother from living to dead|required changing due to the new political direction|f59cd4258ad642a88dcf3ed21955caeb
henry the fowler|famous legion of thieves from merseburg|Sent by Otto to infiltrate Bohemia|e49983689c3747d6aa1c67865872dcbc
otto i|boleslaus|Tried to bring Boleslaus under control, sent convicts as army|e49983689c3747d6aa1c67865872dcbc
